vals,count
joe,13
the,12
little,9
crazy,8
comey,6
mr,6
nancy,6
wacky,6
hillary,5
trump,4
for,4
plus,4
3,4
jeff,4
squad,4
mike,4
aoc,4
low,3
dog,3
dopey,3
1,3
from,3
tom,3
13,3
that,3
senator,3
sleepy,3
liddle,3
guy,3
man,3
high,2
iq,2
nang,2
waters,2
edge,2
crooked,2
dianne,2
psycho,2
sleepin,2
adam,2
pocahontas,2
ted,2
rocket,2
maxine,2
omarosa,2
bernie,2
mad,2
schiff,2
jerry,2
bob,2
bloomberg,2
sloppy,2
mini,2
warren,2
lyin,2
corrupt,2
pelosi,2
marco,2
tim,2
da,2
steyer,2
puppet,2
feinstein,2
angry,2
woman,2
democrats,2
michael,2
elizabeth,2
goofy,1
gillibrand,1
fraud,1
ryan,1
bill,1
evan,1
katy,1
casey,1
kamala,1
gov,1
bee,1
mystery,1
texas,1
lamb,1
people,1
shifty,1
weird,1
megyn,1
peron,1
tough,1
britain,1
pencil,1
tropics,1
crime,1
giuseppi,1
left,1
nutty,1
wallace,1
hunter,1
indian,1
38,1
mouthed,1
flunky,1
jones,1
quid,1
off,1
frankenstein,1
braindead,1
sneaky,1
pakistani,1
hel,1
steve,1
thugs,1
zuckerman,1
big,1
record,1
bush,1
talent,1
justin,1
sir,1
lover,1
animal,1
fat,1
wild,1
no,1
17,1
flake,1
beck,1
flunkie,1
fake,1
goofball,1
rock,1
charles,1
cnn,1
wheres,1
ms,1
conway,1
corker,1
whitmer,1
as,1
flakey,1
southern,1
peepers,1
snowman,1
democrat,1
duarte,1
foul,1
donny,1
weirdo,1
lockheed,1
morning,1
wise,1
0%,1
dumbo,1
ben,1
truly,1
my,1
deranged,1
flailer,1
half,1
neuman,1
kurd,1
moderate,1
evita,1
hiden,1
cryin,1
pounce,1
zucker,1
tax,1
michigan,1
hardened,1
glenn,1
impeachment,1
slimeball,1
neck,1
of,1
obama,1
boot,1
chin,1
kellyanne,1
obiden,1
punchy,1
heartless,1
sour,1
antoinette,1
mcmuffin,1
jeb,1
phony,1
husband,1
deutsch,1
energy,1
eva,1
samantha,1
h,1
magoo,1
moore,1
1%,1
cheatin,1
eyes,1
sanctimonious,1
alfred,1
moonbeam,1
44,1
uber,1
richard,1
mark,1
congresswoman,1
original,1
lightweight,1
pro,1
41,1
rand,1
hemisphere,1
dumb,1
kirsten,1
and,1
brown,1
bozo,1
leaking,1
dicky,1
alex,1
omar,1
canada,1
al,1
lying,1
beto,1
creepy,1
gretchen,1
jacky,1
george,1
american,1
china,1
juan,1
penn,1
dictator,1
basically,1
puppy,1
beijing,1
sasse,1
james,1
luther,1
nervous,1
leakin,1
atheist,1
kaine,1
pie,1
cutie,1
skank,1
shady,1
slow,1
slippery,1
mika,1
rejected,1
a,1
basement,1
wilson,1
paul,1
arnold,1
monster,1
on,1
durbin,1
dummy,1
favorite,1
dick,1
marillyn,1
schitt,1
wannabe,1
sham,1
chuck,1
lemon,1
cbs,1
assad,1
cuban,1
e,1
mort,1
fredo,1
moonface,1
professor,1
sick,1
apple,1
